longitude\tlatitude\tspeed
-122.80162\t45.490967\t33
-122.801667\t45.49068\t0.41
-122.786075\t45.47065\t0
-122.786118\t45.469427\t22.64
-122.838005\t45.530157\t24.12
-122.72182\t45.507915\t0
-122.72036\t45.507508\t23.98
-122.687538\t45.517838\t0
-122.688147\t45.516842\t24.07
-122.565058\t45.501548\t23
-122.565433\t45.468675\t0
-122.565197\t45.469875\t26.8
-122.762975\t45.4356\t0.9
-122.824293\t45.382573\t0
-122.825728\t45.382165\t23.6
-122.580517\t45.355457\t23
-122.678427\t45.579157\t4.41
-122.67841\t45.580325\t25.6
-122.682167\t45.606342\t26
-122.684883\t45.597757\t4.53
-122.684172\t45.59994\t6.24
-122.684965\t45.597582\t1.64
-122.694758\t45.515745\t0
-122.696128\t45.515967\t21.8
-122.807595\t45.498983\t0
-122.776772\t45.508012\t0
-122.778292\t45.50847\t25.5
-122.569552\t45.444057\t0
-122.569927\t45.445115\t24
-122.686818\t45.518662\t26.2
-122.665183\t45.527165\t0
-122.665157\t45.528277\t24.4
-122.640158\t45.473408\t0
-122.640378\t45.47434\t20.8
-122.622245\t45.53301\t0
-122.623735\t45.533352\t24.2
-122.801362\t45.491183\t30.2
-122.801512\t45.491042\t7.88
-122.56015\t45.547863\t2.48
-122.56059\t45.548925\t24.4
-122.613185\t45.432963\t0
-122.614472\t45.433512\t23.2
-122.741002\t45.50845\t0
-122.739617\t45.508648\t20.1
-122.742928\t45.508178\t0
-122.744488\t45.507767\t25.6
-122.68019\t45.540315\t21.4
-122.82521\t45.506432\t23.2
-122.534218\t45.545992\t0
-122.535877\t45.546305\t26.6
-122.688378\t45.516132\t23
-122.609067\t45.527365\t0
-122.607522\t45.527257\t24.95
-122.786267\t45.464612\t0
-122.786197\t45.463597\t22.4
-122.679233\t45.569203\t24.13
-122.678943\t45.568457\t3.8
-122.67878\t45.55269\t0
-122.678797\t45.55152\t25.13
-122.507905\t45.497322\t36
-122.507363\t45.497177\t9
-122.561367\t45.560015\t1.2
-122.42599\t45.504295\t2.29
-122.801613\t45.49098\t32.8
-122.801682\t45.490922\t1.2
-122.786013\t45.46766\t2.45
-122.785977\t45.468808\t25.3
-122.785952\t45.4711\t3.65
-122.791495\t45.479302\t4.5
-122.79239\t45.481498\t25.2
-122.792753\t45.483603\t2.38
-122.79268\t45.484323\t24.05
-122.827033\t45.503253\t0.58
-122.815807\t45.522918\t23.53
-122.947025\t45.53226\t24.5
-122.686743\t45.526293\t0
-122.686782\t45.527408\t24.6
-122.565283\t45.512858\t23.52
-122.56569\t45.517647\t25.8
-122.433612\t45.527642\t20.5
-122.577995\t45.327057\t20.2
-122.631895\t45.44529\t0
-122.631262\t45.444383\t24
-122.662477\t45.580772\t20.15
-122.662477\t45.580772\t0
-122.678782\t45.55304\t0
-122.67879\t45.552005\t22.7
-122.841697\t45.506023\t63.5
-122.842187\t45.505727\t27.5
-122.842483\t45.505597\t0.12
-122.641728\t45.479438\t0
-122.641495\t45.478442\t22
-122.640652\t45.454093\t0
-122.640408\t45.455015\t20.4
-122.801272\t45.490802\t1.89
-122.681987\t45.606757\t0
-122.682418\t45.605695\t24.4
-122.682863\t45.603173\t0
-122.565608\t45.491163\t20.6
-122.787677\t45.474447\t3.54
-122.576533\t45.392005\t0
-122.576917\t45.391005\t23.42
-122.56579\t45.489522\t0
-122.56555\t45.491747\t24.4
-122.786203\t45.472283\t20.8
-122.593052\t45.369785\t0
-122.592167\t45.370792\t26
-122.642733\t45.482375\t0
-122.643303\t45.483283\t21.8
-122.44655\t45.504455\t22
-122.701092\t45.514102\t0
-122.700203\t45.515072\t25.4
-122.815832\t45.522945\t22.31
-122.710373\t45.507185\t0
-122.7092\t45.507775\t24.06
-122.686938\t45.526585\t28.5
-122.613757\t45.52939\t0
-122.858727\t45.56562\t31
-122.943528\t45.501808\t0
-122.944992\t45.501958\t22.8
-122.710753\t45.507092\t0
-122.709325\t45.507708\t26.2
-122.755562\t45.589405\t0.2
-122.76051\t45.576067\t0
-122.759673\t45.575205\t22.8
-122.565055\t45.501825\t20.2
-122.686725\t45.526415\t0
-122.686772\t45.527522\t24.2
-122.666615\t45.510697\t0
-122.667005\t45.511608\t21.2
-122.565225\t45.514683\t0
-122.783402\t45.510098\t0
-122.781902\t45.509553\t26.2
-122.767188\t45.438795\t0
-122.768537\t45.439518\t26.6
-122.66245\t45.580748\t21.4
-122.678725\t45.558152\t24.4
-122.57482\t45.396147\t0
-122.575288\t45.39501\t26
-122.639798\t45.458532\t20.68
-122.568102\t45.440197\t21
-122.565112\t45.52144\t11.15
-122.613242\t45.432987\t0
-122.614483\t45.433518\t22.6
-122.678557\t45.552927\t22
-122.858638\t45.565752\t34
-122.858632\t45.565762\t34
-122.867665\t45.550467\t0
-122.598043\t45.426348\t0
-122.599172\t45.42687\t21
-122.893238\t45.496743\t0
-122.827393\t45.496648\t0
-122.641217\t45.477402\t0
-122.640995\t45.47645\t21.4
