longitude\tlatitude\tspeed
-122.614487\t45.497485\t11.2
-122.86074\t45.563532\t8.6
-122.860193\t45.563683\t9.4
-122.859545\t45.563748\t10
-122.85902\t45.56381\t8.2
-122.85858\t45.564065\t9
-122.85845\t45.564463\t8.8
-122.858528\t45.564812\t7.6
-122.858727\t45.56512\t7.2
-122.858837\t45.56525\t2.8
-122.858875\t45.565435\t4.6
-122.858668\t45.565702\t6.4
-122.85852\t45.565935\t5.8
-122.85877\t45.56613\t6
-122.859198\t45.566047\t6.8
-122.859557\t45.565912\t6
-122.859753\t45.565725\t4.4
-122.859753\t45.56559\t3
-122.85944\t45.565475\t5.6
-122.859205\t45.565418\t3.4
-122.859203\t45.565417\t0
-122.859203\t45.565417\t0
-122.859157\t45.565398\t3
-122.858818\t45.565212\t7.2
-122.858548\t45.564917\t7.6
-122.867307\t45.490118\t0
-122.867052\t45.49544\t5.56
-122.867073\t45.495743\t1.13
-122.867078\t45.49623\t10.8
-122.867078\t45.496883\t14.6
-122.867075\t45.497673\t17.4
-122.867077\t45.498463\t17.4
-122.867077\t45.499152\t14.8
-122.867097\t45.499657\t11
-122.867123\t45.499877\t4.6
-122.867143\t45.499985\t0.26
-122.867223\t45.500362\t8.4
-122.867315\t45.500943\t13.2
-122.86733\t45.501647\t15.4
-122.867322\t45.50241\t16.8
-122.867313\t45.503247\t18.6
-122.553855\t45.51901\t3.8
-122.554455\t45.519027\t9.8
-122.555295\t45.51905\t13.4
-122.556183\t45.519057\t13.6
-122.556868\t45.519063\t9.8
-122.557213\t45.519063\t4.8
-122.557447\t45.519065\t3.6
-122.557683\t45.519145\t4.2
-122.557745\t45.519392\t5.4
-122.55778\t45.519488\t1.4
-122.558103\t45.519897\t0.84
-122.558315\t45.520417\t12.2
-122.558333\t45.521073\t14.8
-122.558318\t45.521723\t14
-122.55833\t45.522245\t10.4
-122.558325\t45.522418\t2.8
-122.558325\t45.522445\t0.06
-122.866575\t45.47578\t4.34
-122.8674\t45.543055\t5.67
-122.867397\t45.543285\t5.6
-122.867408\t45.54378\t11
-122.867412\t45.545127\t14.9
-122.867422\t45.545815\t15.2
-122.867382\t45.520153\t5.26
-122.867372\t45.520615\t10.2
-122.867345\t45.520983\t7.6
-122.867377\t45.521592\t2.37
-122.867383\t45.522217\t14.2
-122.867383\t45.522927\t15.6
-122.867347\t45.523457\t10.8
-122.867388\t45.524035\t2.6
-122.867375\t45.52457\t12.2
-122.867365\t45.525235\t14.8
-122.867353\t45.525908\t14.6
-122.867342\t45.526383\t9.6
-122.867342\t45.526607\t4.4
-122.867345\t45.526657\t0.8
-122.867345\t45.526657\t0
-122.867345\t45.52666\t0.5
-122.867338\t45.52684\t4.6
-122.867342\t45.52725\t9.4
-122.867323\t45.527708\t10
-122.867303\t45.52798\t5
-122.86735\t45.528605\t3.75
-122.867345\t45.529155\t11.8
-122.867333\t45.529492\t6.6
-122.867367\t45.530087\t2.03
-122.867373\t45.53058\t10.6
-122.866312\t45.475893\t5.38
-122.867312\t45.488543\t11.9
-122.867315\t45.487968\t12.6
-122.867315\t45.487383\t13
-122.867322\t45.486728\t14.4
-122.867327\t45.486068\t14.6
-122.867333\t45.485463\t12.8
-122.867365\t45.485132\t6.4
-122.867352\t45.484867\t0.91
-122.867327\t45.484363\t11.8
-122.678335\t45.522993\t7.83
-122.67796\t45.523005\t5.8
-122.677775\t45.523008\t2.6
-122.867743\t45.517773\t6.6
-122.868457\t45.51779\t11.2
-122.869235\t45.517868\t12.4
-122.869853\t45.518073\t10.2
-122.870172\t45.51823\t5.6
-122.870507\t45.518118\t5.8
-122.87077\t45.517913\t5.8
-122.870805\t45.517677\t5
-122.870503\t45.517528\t5.8
-122.870172\t45.517418\t5.6
-122.869287\t45.517622\t1.35
-122.869205\t45.517727\t2.8
-122.868717\t45.51776\t8
-122.868097\t45.517742\t9
-122.86781\t45.517725\t3.8
-122.867792\t45.517718\t0.01
-122.867513\t45.51778\t5
-122.867375\t45.518107\t7.8
-122.867382\t45.518578\t11
-122.867382\t45.519173\t13.2
-122.867382\t45.519743\t12.2
-122.867377\t45.530992\t5.75
-122.86738\t45.531532\t12.4
-122.867383\t45.532205\t18.5
-122.867585\t45.531538\t5.95
-122.867587\t45.5312\t7.4
-122.867582\t45.530712\t10.8
-122.86758\t45.530218\t10.8
-122.867593\t45.529788\t9.4
-122.867615\t45.529517\t6
-122.867592\t45.529107\t1.8
-122.867588\t45.528635\t10.6
-122.867583\t45.528042\t13
-122.867602\t45.527525\t11.2
-122.867623\t45.52736\t3.6
-122.867593\t45.527165\t1.1
-122.867577\t45.526692\t10.4
-122.867588\t45.52605\t14.2
-122.85842\t45.564608\t8.2
-122.858562\t45.564922\t7
-122.85877\t45.56519\t6.4
-122.85886\t45.565292\t2.2
-122.858812\t45.56554\t5.4
-122.858557\t45.565823\t7.2
-122.858633\t45.566093\t6.4
-122.859102\t45.56609\t7
-122.859393\t45.566003\t4.8
-122.858675\t45.565012\t5.75
-122.85854\t45.564697\t7
-122.858562\t45.564323\t8.2
-122.858822\t45.563978\t8.4
-122.859355\t45.563852\t11.5
-122.867297\t45.496282\t5.7
-122.8673\t45.496275\t1
-122.8673\t45.496142\t3.2
-122.8673\t45.495892\t5.6
-122.867317\t45.495645\t5.4
-122.867527\t45.47809\t5.96
-122.86753\t45.477475\t13.6
-122.867552\t45.476898\t12.2
-122.867573\t45.476528\t7.4
-122.86758\t45.476407\t1.8
-122.86758\t45.476402\t0.2
-122.867583\t45.476313\t2.8
-122.867557\t45.47595\t8.2
-122.867555\t45.475648\t6.2
-122.867555\t45.475553\t1.4
-122.867553\t45.475545\t0
-122.867512\t45.475363\t4.8
-122.867187\t45.475338\t4.2
-122.866953\t45.475432\t4
-122.866295\t45.475783\t3
-122.865517\t45.476137\t14.2
-122.86463\t45.47654\t16.2
-122.863688\t45.476965\t17.2
-122.862733\t45.477392\t17.4
-122.861795\t45.477812\t17.2
-122.860107\t45.478578\t15.5
-122.85931\t45.478935\t14.6
-122.85861\t45.479247\t12.8
-122.857925\t45.47955\t12.6
-122.857217\t45.47987\t13
-122.856503\t45.480193\t13.2
-122.855812\t45.480507\t12.6
-122.85502\t45.480773\t13.6
-122.86743\t45.558552\t6.2
-122.867478\t45.558813\t2.13
-122.867487\t45.559228\t9.2
-122.867487\t45.559747\t11.8
-122.867495\t45.560358\t13.4
-122.85403\t45.481012\t16
-122.853038\t45.481278\t20.5
-122.852255\t45.481522\t13.4
-122.851833\t45.481653\t7.2
-122.851763\t45.481675\t1.2
-122.851703\t45.481693\t0.08
-122.851248\t45.481838\t7.6
-122.850537\t45.482068\t12
-122.849665\t45.482348\t15
